- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos
100020 0.6667 1.0000 0.3333 0.3333 -0.6667 0.3333 -1297.700 -1459.450 -2483.165 -2279.665 -2537.250 -2395.625 -1943.700 -1896.400 -1297.700 -1459.450 -2483.165 -2279.665 -2537.250 -2395.625 -1943.700 -1896.400 -1297.700 -1459.450 -3200.835 -2852.000 -2935.665 -1978.625 -1791.375 -2460.000 -1821.300 -1949.600 -1703.900 -2483.165 -2279.665 -1626.400 -1563.250 -1753.300 -2537.250 -2395.625 -1943.700 -1896.400
100021 0.6667 1.0000 0.3333 0.3333 -0.6667 0.6667 -1501.600 -1062.150 -2375.665 -2919.335 -2137.875 -2303.125 -2117.400 -1976.300 -1501.600 -1062.150 -2375.665 -2919.335 -2137.875 -2303.125 -2117.400 -1976.300 -1501.600 -1062.150 -2033.665 -3298.500 -3359.835 -2038.125 -2411.125 -2447.750 -1924.600 -2564.700 -1826.600 -2375.665 -2919.335 -1556.450 -1445.350 -1564.050 -2137.875 -2303.125 -2117.400 -1976.300
100022 0.6667 1.0000 0.3333 0.3333 -0.6667 1.0000 -1604.150 -1406.750 -2072.000 -2853.165 -2453.625 -2314.250 -1858.000 -2116.700 -1604.150 -1406.750 -2072.000 -2853.165 -2453.625 -2314.250 -1858.000 -2116.700 -1604.150 -1406.750 -1985.000 -2233.165 -3076.500 -1951.625 -2746.000 -2449.250 -1880.000 -2499.200 -2122.300 -2072.000 -2853.165 -1370.000 -1533.600 -1388.650 -2453.625 -2314.250 -1858.000 -2116.700
100023 0.6667 1.0000 0.3333 0.3333 -0.3333 -1.0000 -530.650 -518.700 -1200.000 -1200.000 -900.000 -915.000 -788.700 -720.000 -530.650 -518.700 -1200.000 -1200.000 -900.000 -915.000 -788.700 -720.000 -530.650 -518.700 -1514.000 -1262.500 -1268.165 -1370.125 -1228.375 -1204.750 -893.800 -923.000 -1235.200 -1200.000 -1200.000 -666.250 -572.250 -680.650 -900.000 -915.000 -788.700 -720.000
100024 0.6667 1.0000 0.3333 0.3333 -0.3333 -0.6667 -765.150 -872.700 -1625.665 -1449.165 -1714.125 -1967.000 -1240.900 -1159.100 -765.150 -872.700 -1625.665 -1449.165 -1714.125 -1967.000 -1240.900 -1159.100 -765.150 -872.700 -2144.335 -2056.335 -1937.665 -2155.625 -1761.625 -2208.875 -1802.900 -1366.400 -1770.800 -1625.665 -1449.165 -1115.300 -912.950 -992.550 -1714.125 -1967.000 -1240.900 -1159.100
100025 0.6667 1.0000 0.3333 0.3333 -0.3333 -0.3333 -913.300 -657.350 -1769.835 -2080.000 -1677.000 -1994.750 -1361.000 -1281.500 -913.300 -657.350 -1769.835 -2080.000 -1677.000 -1994.750 -1361.000 -1281.500 -913.300 -657.350 -2104.000 -2196.165 -2192.665 -2403.500 -2113.750 -1967.500 -1410.600 -1683.000 -1718.800 -1769.835 -2080.000 -1110.600 -1086.200 -1173.700 -1677.000 -1994.750 -1361.000 -1281.500
100026 0.6667 1.0000 0.3333 0.3333 -0.3333 0.0000 -1500.400 -1039.300 -2418.335 -1984.165 -1991.500 -2152.875 -1598.800 -1752.700 -1500.400 -1039.300 -2418.335 -1984.165 -1991.500 -2152.875 -1598.800 -1752.700 -1500.400 -1039.300 -2326.500 -2777.665 -2074.835 -1805.875 -1958.500 -1809.875 -1926.700 -2212.400 -1673.200 -2418.335 -1984.165 -1284.650 -1137.350 -1509.600 -1991.500 -2152.875 -1598.800 -1752.700
100027 0.6667 1.0000 0.3333 0.3333 -0.3333 0.3333 -1448.250 -1167.000 -2330.835 -2593.500 -2136.500 -2390.500 -2055.100 -2231.600 -1448.250 -1167.000 -2330.835 -2593.500 -2136.500 -2390.500 -2055.100 -2231.600 -1448.250 -1167.000 -2481.165 -2403.835 -2820.165 -1857.250 -2216.000 -2693.000 -1796.600 -1652.000 -1650.800 -2330.835 -2593.500 -1403.950 -1325.850 -1497.650 -2136.500 -2390.500 -2055.100 -2231.600
100028 0.6667 1.0000 0.3333 0.3333 -0.3333 0.6667 -1279.750 -1235.600 -2329.165 -2723.500 -2068.500 -2126.625 -2211.000 -2137.200 -1279.750 -1235.600 -2329.165 -2723.500 -2068.500 -2126.625 -2211.000 -2137.200 -1279.750 -1235.600 -2653.835 -2948.335 -3243.000 -2153.000 -2358.625 -2109.250 -1968.300 -2093.300 -2393.000 -2329.165 -2723.500 -1644.750 -1366.750 -1314.450 -2068.500 -2126.625 -2211.000 -2137.200
100029 0.6667 1.0000 0.3333 0.3333 -0.3333 1.0000 -1280.250 -1551.150 -2250.335 -2228.000 -2445.625 -1930.625 -2279.600 -2039.100 -1280.250 -1551.150 -2250.335 -2228.000 -2445.625 -1930.625 -2279.600 -2039.100 -1280.250 -1551.150 -1535.335 -2203.500 -2481.165 -1873.625 -1819.000 -2514.875 -2392.400 -1867.100 -1994.200 -2250.335 -2228.000 -1422.750 -1484.800 -1615.450 -2445.625 -1930.625 -2279.600 -2039.100
