- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos 
49020 -0.3333 1.0000 -0.3333 1.0000 -0.3333 1.0000 -570.100 -360.000 -1200.000 -1200.000 -900.000 -900.000 -831.200 -720.000 -570.100 -360.000 -1200.000 -1200.000 -900.000 -900.000 -831.200 -720.000 -570.100 -360.000 -1200.000 -1454.335 -1721.500 -900.000 -1062.125 -1337.000 -720.000 -793.300 -974.700 -1200.000 -1200.000 -404.800 -392.900 -612.400 -900.000 -900.000 -831.200 -720.000 
49021 -0.3333 1.0000 -0.3333 1.0000 0.0000 -1.0000 -457.900 -453.700 -1200.000 -1318.665 -900.000 -1127.250 -921.200 -766.300 -457.900 -453.700 -1200.000 -1318.665 -900.000 -1127.250 -921.200 -766.300 -457.900 -453.700 -1385.165 -1645.665 -1437.500 -953.000 -1002.750 -1164.000 -848.700 -888.300 -853.700 -1200.000 -1318.665 -511.950 -518.500 -489.900 -900.000 -1127.250 -921.200 -766.300 
49022 -0.3333 1.0000 -0.3333 1.0000 0.0000 -0.6667 -442.200 -473.100 -1200.000 -1200.000 -900.000 -1029.000 -828.200 -805.300 -442.200 -473.100 -1200.000 -1200.000 -900.000 -1029.000 -828.200 -805.300 -442.200 -473.100 -1290.665 -1388.835 -1217.165 -954.750 -1058.125 -1100.750 -746.700 -946.900 -878.600 -1200.000 -1200.000 -507.450 -455.050 -518.000 -900.000 -1029.000 -828.200 -805.300 
49023 -0.3333 1.0000 -0.3333 1.0000 0.0000 -0.3333 -430.500 -448.450 -1200.000 -1200.000 -900.000 -900.000 -840.600 -720.000 -430.500 -448.450 -1200.000 -1200.000 -900.000 -900.000 -840.600 -720.000 -430.500 -448.450 -1200.000 -1240.500 -1223.000 -900.000 -1000.750 -1357.875 -802.400 -778.200 -940.800 -1200.000 -1200.000 -535.300 -435.050 -668.550 -900.000 -900.000 -840.600 -720.000 
49024 -0.3333 1.0000 -0.3333 1.0000 0.0000 0.0000 -719.450 -360.000 -1200.000 -1200.000 -900.000 -900.000 -900.000 -720.000 -719.450 -360.000 -1200.000 -1200.000 -900.000 -900.000 -900.000 -720.000 -719.450 -360.000 -1200.000 -1202.665 -1800.165 -900.000 -1126.625 -1352.125 -720.000 -720.200 -1080.000 -1200.000 -1200.000 -449.400 -449.750 -719.700 -900.000 -900.000 -900.000 -720.000 
49025 -0.3333 1.0000 -0.3333 1.0000 0.0000 0.3333 -519.900 -368.150 -1200.000 -1200.000 -900.000 -991.375 -877.100 -765.200 -519.900 -368.150 -1200.000 -1200.000 -900.000 -991.375 -877.100 -765.200 -519.900 -368.150 -1478.000 -1445.000 -1752.335 -1042.625 -1345.125 -1504.125 -869.300 -1013.800 -1067.900 -1200.000 -1200.000 -393.600 -472.300 -606.650 -900.000 -991.375 -877.100 -765.200 
49026 -0.3333 1.0000 -0.3333 1.0000 0.0000 0.6667 -554.750 -444.400 -1208.000 -1245.500 -907.750 -916.625 -866.200 -827.200 -554.750 -444.400 -1208.000 -1245.500 -907.750 -916.625 -866.200 -827.200 -554.750 -444.400 -1410.500 -1643.335 -1682.000 -1093.875 -1506.375 -1425.000 -887.400 -1032.200 -1144.300 -1208.000 -1245.500 -428.250 -557.400 -669.050 -907.750 -916.625 -866.200 -827.200 
49027 -0.3333 1.0000 -0.3333 1.0000 0.0000 1.0000 -510.500 -465.150 -1251.000 -1270.500 -930.375 -1021.375 -855.900 -938.200 -510.500 -465.150 -1251.000 -1270.500 -930.375 -1021.375 -855.900 -938.200 -510.500 -465.150 -1337.835 -1527.000 -1754.835 -1110.875 -1397.125 -1419.625 -1002.000 -977.600 -1123.600 -1251.000 -1270.500 -476.500 -504.700 -714.600 -930.375 -1021.375 -855.900 -938.200 
49028 -0.3333 1.0000 -0.3333 1.0000 0.3333 -1.0000 -531.900 -379.650 -1200.000 -1200.000 -900.000 -962.250 -928.200 -720.000 -531.900 -379.650 -1200.000 -1200.000 -900.000 -962.250 -928.200 -720.000 -531.900 -379.650 -1200.000 -1206.665 -1545.000 -900.000 -1107.125 -1712.375 -940.300 -1297.500 -1066.500 -1200.000 -1200.000 -575.200 -652.200 -924.250 -900.000 -962.250 -928.200 -720.000 
49029 -0.3333 1.0000 -0.3333 1.0000 0.3333 -0.6667 -777.050 -386.800 -1200.000 -1325.165 -956.125 -1107.000 -928.700 -720.000 -777.050 -386.800 -1200.000 -1325.165 -956.125 -1107.000 -928.700 -720.000 -777.050 -386.800 -1417.000 -1506.165 -2798.835 -1090.125 -1431.875 -1940.500 -833.700 -1005.300 -1651.400 -1200.000 -1325.165 -667.400 -619.500 -1020.700 -956.125 -1107.000 -928.700 -720.000 
